id,title,poster_path,human_verdict
140418,"Bulldog Drummond at Bay",/aEYmM4UW2AmN71toprcDQAw5ohp.jpg,si
58421,"Ignition",/6ntSTjI6ePjciTPvcFY7kTqmsOo.jpg,no
160399,"Megazone 23 III - Part 1 - The Awakening of Eve",/xDuIApsp946VbJZBM4jtlNfAaLz.jpg,no
201989,"Bottles",/ruEYl6K2S0LeTDRa4aDaGhrM0ih.jpg,no
94716,"A Cottage on Dartmoor",/7pEJGYom5opZCzyoc8JXXDP8Lag.jpg,no
1156131,"두번째 상봉",/AnLutEexmGK5diiKa49TWTjDW4P.jpg,no
453424,"Dr. Masher",/fjX0b6urjLMFLwn5APDNdkPGHks.jpg,si
40091,"Sex Madness",/519C46QndlC4AB3hxEbj3j00BEm.jpg,no
29297,"Destination Inner Space",/yUaBoXRxeLPcsJzQY9UeAE4ZFzE.jpg,si
20043,"Royal Space Force - The Wings of Honneamise",/h5naABij9ghj6CLcpBYBkxMGYGX.jpg,no
795813,"I'm Your Man",/v13p6KlgD7Y1Tas6X8GLJzv5zRe.jpg,no
990167,"Dead Pigeon on Beethoven Street",/3OlbsR5QOzboaWXP1J4Ho3JkIH4.jpg,si
535249,"Our Correspondent",/vTIOSyqOoLdxBkpfeTdfwwQ2QMP.jpg,no
75506,"World Without End",/flvqHHFMBCks5Mlb4HWydUZcwbV.jpg,no
539980,"Maigret at the Minister",/wrtM6tVpUcHJQOMzf7ukiheXFFX.jpg,no
548084,"The Perfect Murder",/1iD7jmtft3FBDHFl8NyeqnCE76y.jpg,no
633786,"Faulty Father",/66Leedz6XSF6S39uHFjsa3rHruO.jpg,no
47286,"Cool Air",/fhyZSWfsgoij9uvkANC9DHM40vB.jpg,no
324153,"The Shadow Laughs",/kb4g2rkUYJIXInXQNyKDawTOH6A.jpg,no
651517,"Riverdead",/kodYGucCD6b5xFBp8AmJlrR8OJk.jpg,no
138999,"Little Corey Gorey",/78qQk4jUgsx5Cb6JxKpNt4m0jnP.jpg,no
1494221,"Sticks and Stones: Investigating the Blair Witch",/6qpMpk3f4ibYlg5TQM3C9cWZA3Q.jpg,no
1615804,"The Big Scoop: Challenge at Twilight",/dsOiRIsSK5Tjf3JUkcoESCVEaMN.jpg,no
781001,"That",/8mtyB2mSpIVH1MdcCpqaoTFmslu.jpg,no
84770,"The Large Rope",/vQjXXWsKyCaX2iFQ47QGQVZFcF.jpg,no
173095,"The Brides Wore Blood",/irfCywWtZNUwIg6LCgiDDl04pvB.jpg,si
1700685,"This is Not an Exit",/rVp6LxdZCfa8dvuSYx5NcrFevY1.jpg,no_seguro
752851,"Case of a Young Lord 7: Red Crane House",/bc4XcpVTe7KRlglLsv65oBfOvyu.jpg,si
34734,"Stir of Echoes: The Homecoming",/cHfi643JkyJe647vtLE8SSZICI9.jpg,no
